Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Protocol,Asset,Asset type,Asset balance change,Asset USD value change,Is scam,USD gas fee
04/05/2024,13:10:07,arb,0x1ced0a5ad44d3f077fb125fd839a22fb0da51e1c82ba6967fd0fcb062ddc51f3,https://arbiscan.io/tx/0x1ced0a5ad44d3f077fb125fd839a22fb0da51e1c82ba6967fd0fcb062ddc51f3,sendBatchTokens,0x5c16b5591b3de2ca96baadccfc5f14e889898c0b,,GRG,token,0.05,0.11890837194490429,no,
03/04/2024,21:13:04,matic,0x8748131737c924de77a6458a143c1ff56a82cd92123f81803964a6523b71956f,https://polygonscan.com/tx/0x8748131737c924de77a6458a143c1ff56a82cd92123f81803964a6523b71956f,disperseTokenSimple,0xbb4b1ce29767346cf5d51b4b7557774b1ebf7db0,,WGC,token,100,0.009964525133117835,no,
02/03/2024,17:05:55,mode,0xdfbd6385d7127ea19ea7588825b952023af91cc3da8b574371ac48ab5498cc98,https://explorer.mode.network/tx/0xdfbd6385d7127ea19ea7588825b952023af91cc3da8b574371ac48ab5498cc98,receive,0x0000000000000000000000000000000000000000,,MERK,token,1,0,no,
02/03/2024,17:04:55,op,0xf74a5067328ebc1143a6a0c92ff0295ab0583f83d8cc05b9c6d86a8b3cc519ce,https://optimistic.etherscan.io/tx/0xf74a5067328ebc1143a6a0c92ff0295ab0583f83d8cc05b9c6d86a8b3cc519ce,sendFrom,0xa2c203d7ef78ed80810da8404090f926d67cd892,Merkly,ETH,token,-0.000003480340396433,-0.0119076018289519,no,0.64
,,,,,,,,MERK,token,-1,0,,
02/03/2024,17:04:01,op,0xeae2ed52e841a00ac77ed40817fdd6fcb2336daeeea3064b8c6e44f93c0675b6,https://optimistic.etherscan.io/tx/0xeae2ed52e841a00ac77ed40817fdd6fcb2336daeeea3064b8c6e44f93c0675b6,mint,0xa2c203d7ef78ed80810da8404090f926d67cd892,Merkly,MERK,token,1,0,no,0.34
,,,,,,,,ETH,token,-0.00027,-0.9237753,,
25/02/2024,20:25:36,era,0x3c0f016533d9aa437579185c4f9fbb6c50b110eb7e1d9f0b9d1b0aedf449f521,https://era.zksync.network/tx/0x3c0f016533d9aa437579185c4f9fbb6c50b110eb7e1d9f0b9d1b0aedf449f521,execute,0xf5e67261cb357edb6c7719fefafaab280cb5e2a6,Velocore,USDT,token,14.029053,14.03723766115127,no,0.28
,,,,,,,,USDC,token,-14.511018,-14.511018,,
25/02/2024,20:25:09,era,0x1b4b8c8069b0821154496cd00f7cc488a169752e3b02c47763f67df540cb93a8,https://era.zksync.network/tx/0x1b4b8c8069b0821154496cd00f7cc488a169752e3b02c47763f67df540cb93a8,approve,0x3355df6d4c9c3035724fd0e3914de96a5a83aaf4,,USDC,token,-0.210325,-0.210325,no,0.24
