Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Protocol,Asset,Asset type,Asset balance change,Asset USD value change,Is scam,USD gas fee
31/01/2024,15:05:31,arb,0x843d9134e10d163125425d806b8d41a6080bbc7106d9d2a26aa6161a526573af,https://arbiscan.io/tx/0x843d9134e10d163125425d806b8d41a6080bbc7106d9d2a26aa6161a526573af,execute,0xec8b0f7ffe3ae75d7ffab09429e3675bb63503e4,Uniswap V3,USDC,token,4.610784,4.610784,no,0.39
,,,,,,,,ETH,token,-0.002,-4.5696,,
18/08/2023,03:45:28,matic,0xca8606ad7805afef9905a8055d03c86ebed42d57beed9b7ad586d35dac6b96c1,https://polygonscan.com/tx/0xca8606ad7805afef9905a8055d03c86ebed42d57beed9b7ad586d35dac6b96c1,approve,0x5c8b2f918a4bbb1588c9039466421c7c804479ee,,,,,,no,
18/08/2023,03:45:28,matic,0xbb2c55dba6fe11d94a594a58817aeb7730392b54452bf615fef61070eeb123ef,https://polygonscan.com/tx/0xbb2c55dba6fe11d94a594a58817aeb7730392b54452bf615fef61070eeb123ef,Contract Interaction,0x5c8b2f918a4bbb1588c9039466421c7c804479ee,,,,,,no,
18/08/2023,00:45:28,matic,0xa09d53bc6ea3eb1440567b6cc4403da964eda600fa00351230563c30b1aec235,https://polygonscan.com/tx/0xa09d53bc6ea3eb1440567b6cc4403da964eda600fa00351230563c30b1aec235,approve,0x5c8b2f918a4bbb1588c9039466421c7c804479ee,,,,,,no,
18/08/2023,00:45:28,matic,0x5ff284027ee649b3695998a3deb0dbcd9e6b73dbe562035b7c4680b7f1dab71d,https://polygonscan.com/tx/0x5ff284027ee649b3695998a3deb0dbcd9e6b73dbe562035b7c4680b7f1dab71d,Contract Interaction,0x5c8b2f918a4bbb1588c9039466421c7c804479ee,,,,,,no,
17/08/2023,21:45:27,matic,0x113b8468c6bf874c280b7748511f29b03634d4438ea5e2f0fe3ae6d047cb37dd,https://polygonscan.com/tx/0x113b8468c6bf874c280b7748511f29b03634d4438ea5e2f0fe3ae6d047cb37dd,approve,0x5c8b2f918a4bbb1588c9039466421c7c804479ee,,,,,,no,
17/08/2023,21:45:27,matic,0x7f9de2f3c3bff7b3e29a64057958b9444fdef4abf5c55ec6edc24ee690ad2536,https://polygonscan.com/tx/0x7f9de2f3c3bff7b3e29a64057958b9444fdef4abf5c55ec6edc24ee690ad2536,Contract Interaction,0x5c8b2f918a4bbb1588c9039466421c7c804479ee,,,,,,no,
17/08/2023,21:42:13,matic,0x282eb1008691f294df8905bb56ab3a19b74474ee8dac7869ac6343a414b79c4d,https://polygonscan.com/tx/0x282eb1008691f294df8905bb56ab3a19b74474ee8dac7869ac6343a414b79c4d,receive,0x9c80e2b36497920131ad96c68dde0dd7a9a213cf,,USDC,token,0.00107,0.001069893,no,
17/08/2023,21:37:41,matic,0xb0ce1cbc2430c089e62718d03109b5d3e1d1ae4ccdff9b226b581149463ab070,https://polygonscan.com/tx/0xb0ce1cbc2430c089e62718d03109b5d3e1d1ae4ccdff9b226b581149463ab070,receive,0x29aa8ea9fc813f7c64a9ecf173852993539513cf,,USDC,token,0.000107,0.0001069893,no,
17/08/2023,21:36:47,matic,0x0ac6b81167136d4e04a5adebade46aefc7cf326c1dc9974e5dfa80b604e27435,https://polygonscan.com/tx/0x0ac6b81167136d4e04a5adebade46aefc7cf326c1dc9974e5dfa80b604e27435,send,0x29aa93a140f64fa7e70d1de5731eb1d4d9a213cf,,USDC,token,-10700,-10698.93,no,0
17/08/2023,21:33:41,matic,0x7f44c773f542a356cdbd7a403b0c46f83de5db22fe33b7fc74164b96332821d4,https://polygonscan.com/tx/0x7f44c773f542a356cdbd7a403b0c46f83de5db22fe33b7fc74164b96332821d4,swapCompact,0x4e3288c9ca110bcc82bf38f09a7b425c095d92bf,ODOS,USDC,token,10769.263315,10768.1863886685,no,0.01
,,,,,,,,axlUSDC,token,-10766.294656,-10765.2180265344,,
17/08/2023,21:32:07,matic,0x64742ffec1620fd6831831b98aa74f679c66639fe993d3d8e5b6661f7debe677,https://polygonscan.com/tx/0x64742ffec1620fd6831831b98aa74f679c66639fe993d3d8e5b6661f7debe677,approve,0x4e3288c9ca110bcc82bf38f09a7b425c095d92bf,ODOS,,,,,no,0
17/08/2023,21:19:23,matic,0x6c81c488b98d5409a96ca8eb19452bae516c5488ad516a72b70d19bb17ccb49e,https://polygonscan.com/tx/0x6c81c488b98d5409a96ca8eb19452bae516c5488ad516a72b70d19bb17ccb49e,execute,0x6f015f16de9fc8791b234ef68d486d2bf203fba8,,axlUSDC,token,10765.8,10764.72342,no,
17/08/2023,21:08:25,matic,0x6ea7a0426d23527180eef10f3ee1edba123e0400b583bb651ea8046b66629973,https://polygonscan.com/tx/0x6ea7a0426d23527180eef10f3ee1edba123e0400b583bb651ea8046b66629973,send,0x27dc03ff93556175ecc52d19c9c11b2e8e3b93ab,,axlUSDC,token,-10769,-10767.9231,no,0
17/08/2023,21:07:27,matic,0x549db327dd1b07002b2187a2d67597600650f2b441aae3181d89e8370a6e460d,https://polygonscan.com/tx/0x549db327dd1b07002b2187a2d67597600650f2b441aae3181d89e8370a6e460d,swapCompact,0x4e3288c9ca110bcc82bf38f09a7b425c095d92bf,ODOS,axlUSDC,token,10769.494656,10768.417706534401,no,0.02
,,,,,,,,USDC,token,-10780.807937,-10779.7298562063,,
17/08/2023,21:06:49,matic,0xe2f3591cb48ccae19c1e0cdf0895e23a5f4a8f4666a8e100d570ed4edbed7ecf,https://polygonscan.com/tx/0xe2f3591cb48ccae19c1e0cdf0895e23a5f4a8f4666a8e100d570ed4edbed7ecf,approve,0x4e3288c9ca110bcc82bf38f09a7b425c095d92bf,ODOS,,,,,no,0
17/08/2023,21:05:11,matic,0x7e779c0616f44c01dc14891bf80e0b6abaaaec0116e1656c01553da5278d9fd1,https://polygonscan.com/tx/0x7e779c0616f44c01dc14891bf80e0b6abaaaec0116e1656c01553da5278d9fd1,receive,0x06959153b974d0d5fdfd87d561db6d8d4fa0bb0b,,USDC,token,10777,10775.9223,no,
06/08/2023,23:21:26,avax,0x4d81b42e44cd0219a6310b7627d5c2b90f53107fceaa13e09afd4577302e78b7,https://snowscan.xyz/tx/0x4d81b42e44cd0219a6310b7627d5c2b90f53107fceaa13e09afd4577302e78b7,receive,0x0000000000000000000000000000000000000000,,LZPOWERXLV2,token,1,0,no,
06/08/2023,23:20:51,era,0x27d2eaa800571f75e162dc00c7dc78c2aa4caec0f08409dc46b7b16a6dd47495,https://era.zksync.network/tx/0x27d2eaa800571f75e162dc00c7dc78c2aa4caec0f08409dc46b7b16a6dd47495,sendFrom,0x552113376fff4d1c90c0f6b444cd5109397753bf,,ETH,token,-0.00029031,-0.5313485868,no,0.22
,,,,,,,,LZPOWERXLV2,token,-1,0,,
06/08/2023,23:20:33,era,0x5fa1f2d3bdc9eaa745c88b9fa374213988e496ff0ba8f0d720b819aba566586e,https://era.zksync.network/tx/0x5fa1f2d3bdc9eaa745c88b9fa374213988e496ff0ba8f0d720b819aba566586e,mint,0x552113376fff4d1c90c0f6b444cd5109397753bf,,LZPOWERXLV2,token,1,0,no,0.16
,,,,,,,,ETH,token,-0.00023,-0.4209644,,
04/07/2023,21:40:38,matic,0x5846c36456088d5457018658a274b1f892f61bb474b829c5bd280c8be49521a8,https://polygonscan.com/tx/0x5846c36456088d5457018658a274b1f892f61bb474b829c5bd280c8be49521a8,receive,0x1205f31718499dbf1fca446663b532ef87481fe1,Stargate,USDC,token,3.807937,3.8071754126,no,
04/07/2023,21:39:35,op,0x9b21a545e33cd99d0bcb672767c3e792afbb9ee0b2100f1bb1b15d6d4a1f514c,https://optimistic.etherscan.io/tx/0x9b21a545e33cd99d0bcb672767c3e792afbb9ee0b2100f1bb1b15d6d4a1f514c,swap,0xb0d502e938ed5f4df2e681fe6e419ff29631d62b,Stargate,ETH,token,-0.00018173719463213,-0.3518777388747838,no,0.35
,,,,,,,,USDC,token,-3.810726,-3.8099638548,,
04/07/2023,21:39:19,op,0x63c616e400954c1dac4f98e4563e096895cefd9432e78aee24e4284f2557b3ac,https://optimistic.etherscan.io/tx/0x63c616e400954c1dac4f98e4563e096895cefd9432e78aee24e4284f2557b3ac,approve,0xb0d502e938ed5f4df2e681fe6e419ff29631d62b,Stargate,,,,,no,0.18
04/07/2023,21:38:17,era,0x0ea27be5045cdf9f84a4673bdf68c73b20d7b6d7920687b178597e7de84ae19f,https://era.zksync.network/tx/0x0ea27be5045cdf9f84a4673bdf68c73b20d7b6d7920687b178597e7de84ae19f,swapExactTokensForETH,0xbe7d1fd1f6748bbdefc4fbacafbb11c6fc506d1d,SpaceFi,BUSD,token,-19.35708456946842,-19.353213152554527,no,0.89
04/07/2023,21:38:03,era,0x0e26550024d898d5889b2adcb6ecbdb1c2e89b789d197ebf5b24875d36641d71,https://era.zksync.network/tx/0x0e26550024d898d5889b2adcb6ecbdb1c2e89b789d197ebf5b24875d36641d71,approve,0xbe7d1fd1f6748bbdefc4fbacafbb11c6fc506d1d,SpaceFi,,,,,no,0.26
04/07/2023,21:37:47,era,0xe3d0b79c9f5d35424d802cca860b1f77e9ca9039ec62d999ea3bd1cd180e1f1b,https://era.zksync.network/tx/0xe3d0b79c9f5d35424d802cca860b1f77e9ca9039ec62d999ea3bd1cd180e1f1b,swapExactTokensForTokens,0xbe7d1fd1f6748bbdefc4fbacafbb11c6fc506d1d,SpaceFi,BUSD,token,19.35708456946842,19.353213152554527,no,0.85
,,,,,,,,USDC,token,-19.399909,-19.3960290182,,
04/07/2023,21:37:33,era,0x0c8c7c250efc00538029881e18a87146413ede93092d49460d9fd6421e5152b6,https://era.zksync.network/tx/0x0c8c7c250efc00538029881e18a87146413ede93092d49460d9fd6421e5152b6,approve,0xbe7d1fd1f6748bbdefc4fbacafbb11c6fc506d1d,SpaceFi,,,,,no,0.26
04/07/2023,21:37:11,era,0xba9b9f7c5c352eb61d424d7d89ade0465d91930c2fa73719dec485bf18a4f971,https://era.zksync.network/tx/0xba9b9f7c5c352eb61d424d7d89ade0465d91930c2fa73719dec485bf18a4f971,swapExactTokensForTokens,0xbe7d1fd1f6748bbdefc4fbacafbb11c6fc506d1d,SpaceFi,USDC,token,0.278145,0.278089371,no,0.92
,,,,,,,,MUTE,token,-0.5526135329792936,-0.2704387116225274,,
04/07/2023,21:36:56,era,0x74e6b4f685cecb9ba483e51cb9b591b4ca2028fbf63c51414e51851c0a60d973,https://era.zksync.network/tx/0x74e6b4f685cecb9ba483e51cb9b591b4ca2028fbf63c51414e51851c0a60d973,approve,0xbe7d1fd1f6748bbdefc4fbacafbb11c6fc506d1d,SpaceFi,,,,,no,0.38
25/06/2023,23:48:34,era,0xa74c0db63492dc9ed0ec3b69908d1bf5d32adadbfc3980898df8a1f5aba8453b,https://era.zksync.network/tx/0xa74c0db63492dc9ed0ec3b69908d1bf5d32adadbfc3980898df8a1f5aba8453b,crossChain,0x0bf0d6260fb4f4fc77b143eaff9e4fe51dd08c83,Merkly,ETH,token,-0.000010573910829261,-0.020077741882600784,no,0.31
25/06/2023,23:48:26,era,0xaf07f68f41badf7101e44f523dea3c84b5a270c6a672464851eab1e6854f8cf8,https://era.zksync.network/tx/0xaf07f68f41badf7101e44f523dea3c84b5a270c6a672464851eab1e6854f8cf8,mint,0x0bf0d6260fb4f4fc77b143eaff9e4fe51dd08c83,Merkly,ETH,token,-0.0004,-0.75952,no,0.13
25/06/2023,15:10:01,op,0x311608decd0d5263cbb0987912d465be685bca725e739783be8d3303404541ca,https://optimistic.etherscan.io/tx/0x311608decd0d5263cbb0987912d465be685bca725e739783be8d3303404541ca,receive,0xdecc0c09c3b5f6e92ef4184125d5648a66e35298,Stargate,USDC,token,3.810726,3.8092017096,no,
25/06/2023,15:09:07,avax,0x1a2323d637c3b112f17eee7497df24c6b160c9cca22cc1dc02078c22e48e865a,https://snowscan.xyz/tx/0x1a2323d637c3b112f17eee7497df24c6b160c9cca22cc1dc02078c22e48e865a,swap,0x45a01e4e04f14f7a4a6702c74187c5f6222033cd,Stargate,AVAX,token,-0.0630478359743076,-0.846732437134951,no,0.14
,,,,,,,,USDC,token,-3.813013,-3.8114877948000006,,
25/06/2023,15:08:48,avax,0x4a711d9a7a8772d707c1de2d440e9ecf38cb205f65641b151f9f0a7697260225,https://snowscan.xyz/tx/0x4a711d9a7a8772d707c1de2d440e9ecf38cb205f65641b151f9f0a7697260225,approve,0x45a01e4e04f14f7a4a6702c74187c5f6222033cd,Stargate,,,,,no,0.02
25/06/2023,15:07:55,avax,0x2ed1934536c18e36ea3c68e0ad5890c7699fe588f7f132916f517e922ad89d65,https://snowscan.xyz/tx/0x2ed1934536c18e36ea3c68e0ad5890c7699fe588f7f132916f517e922ad89d65,Contract Interaction,0xcd2e3622d483c7dc855f72e5eafadcd577ac78b4,LayerZero Labs,USDC,token,3.813013,3.8114877948000006,no,
,,,,,,,,AVAX,token,0.1,1.343,,
25/06/2023,15:07:33,arb,0xdb8cfed5ec705319ca70443475e25293a8109b3b4e65145822420d6784edd482,https://arbiscan.io/tx/0xdb8cfed5ec705319ca70443475e25293a8109b3b4e65145822420d6784edd482,swap,0x53bf833a5d6c4dda888f69c22c88c9f356a41614,Stargate,ETH,token,-0.001069216748836913,-2.0302287626915305,no,0.17
,,,,,,,,USDT,token,-3.816829,-3.818183974295,,
25/06/2023,15:07:29,arb,0x138da303f2b79b7bd9897ee0e91bfd2d73d93145895b1bd0fdd65d06eaf78a2f,https://arbiscan.io/tx/0x138da303f2b79b7bd9897ee0e91bfd2d73d93145895b1bd0fdd65d06eaf78a2f,approve,0x53bf833a5d6c4dda888f69c22c88c9f356a41614,Stargate,,,,,no,0.06
25/06/2023,15:06:50,arb,0x65dddcf437e0d720296f426256272654f02c81e4dd5688fce978fd8d4f16141e,https://arbiscan.io/tx/0x65dddcf437e0d720296f426256272654f02c81e4dd5688fce978fd8d4f16141e,swap,0xdd94018f54e565dbfc939f7c44a16e163faab331,ODOS,USDT,token,3.816765,3.8181199515750004,no,0.21
,,,,,,,,ETH,token,-0.002,-3.7976,,
25/06/2023,15:03:21,era,0x6649a54f7b68e146fe76ca558e405bf6ca99a19a67f901cdf2fc4ead986751e6,https://era.zksync.network/tx/0x6649a54f7b68e146fe76ca558e405bf6ca99a19a67f901cdf2fc4ead986751e6,multicall,0x39e098a153ad69834a9dac32f0fca92066ad03f4,Maverick,USDC,token,19.121763,19.114114294800004,no,0.24
,,,,,,,,ETH,token,-0.01,-18.988,,
07/06/2023,20:52:36,era,0x84dfa4e16053190e3b3ba92082400b5771fd4442214b6eb7b41199bd5732ba74,https://era.zksync.network/tx/0x84dfa4e16053190e3b3ba92082400b5771fd4442214b6eb7b41199bd5732ba74,multicall,0x9606ec131eec0f84c95d82c9a63959f2331cf2ac,iZUMi Finance,iZi,token,-1209.0758233864508,-26.357852949824625,no,0.52
07/06/2023,20:52:19,era,0x5cac071dcd8b324afecb6230158da8b525382f4f2308a66b520ac6847528576c,https://era.zksync.network/tx/0x5cac071dcd8b324afecb6230158da8b525382f4f2308a66b520ac6847528576c,approve,0x9606ec131eec0f84c95d82c9a63959f2331cf2ac,iZUMi Finance,,,,,no,0.12
