Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Protocol,Asset,Asset type,Asset balance change,Asset USD value change,Is scam,USD gas fee
10/03/2024,20:33:32,matic,0xdd7f7b05e988f40cbf304a818e447bb8b0dfc11d9fd3593e6889bb28a8670eec,https://polygonscan.com/tx/0xdd7f7b05e988f40cbf304a818e447bb8b0dfc11d9fd3593e6889bb28a8670eec,receive,0x060efea74761591fe7059efc2e2624ee787c9a31,,KC,token,4.9,0.0014633742095975827,no,
09/07/2023,00:31:15,op,0x2e8c77f633f333ea180da153f88226288cdafb2a00693d0244e0d74f99bd03ae,https://optimistic.etherscan.io/tx/0x2e8c77f633f333ea180da153f88226288cdafb2a00693d0244e0d74f99bd03ae,receive,0xdecc0c09c3b5f6e92ef4184125d5648a66e35298,Stargate,USDC,token,24.99925,24.99925,no,
09/07/2023,00:11:11,matic,0x3ceaeca290858c2aaeb04e3b41c9e0cd8060431ff1ba556c84c2daae6b13fd98,https://polygonscan.com/tx/0x3ceaeca290858c2aaeb04e3b41c9e0cd8060431ff1ba556c84c2daae6b13fd98,swap,0x45a01e4e04f14f7a4a6702c74187c5f6222033cd,Stargate,MATIC,token,-1.2488520682533295,-0.8491956782229672,no,0.03
,,,,,,,,USDC,token,-25,-25,,
09/07/2023,00:10:51,matic,0x8c5cacf8f3465320aef1c86e07caaab31590297ca862df4daa5bac9127a56bf8,https://polygonscan.com/tx/0x8c5cacf8f3465320aef1c86e07caaab31590297ca862df4daa5bac9127a56bf8,approve,0x45a01e4e04f14f7a4a6702c74187c5f6222033cd,Stargate,,,,,no,0
09/07/2023,00:10:10,avax,0x375003ba4a100c404fc929166b9b5068fee057b37b2ceb009df804e726cb7be0,https://snowscan.xyz/tx/0x375003ba4a100c404fc929166b9b5068fee057b37b2ceb009df804e726cb7be0,swap,0x45a01e4e04f14f7a4a6702c74187c5f6222033cd,Stargate,AVAX,token,-0.022629498758502738,-0.30889265805356236,no,0.14
,,,,,,,,USDt,token,-0.672927,-0.6730043866050001,,
09/07/2023,00:10:03,avax,0xc0e8d107a0ad2a72c4421ff8841ae3c3d5d8e15d01beeea10cddc4f1e1b4ec1c,https://snowscan.xyz/tx/0xc0e8d107a0ad2a72c4421ff8841ae3c3d5d8e15d01beeea10cddc4f1e1b4ec1c,approve,0x45a01e4e04f14f7a4a6702c74187c5f6222033cd,Stargate,,,,,no,0.02
09/07/2023,00:09:50,metis,0x4b84c0bc0e21eba885217abf35c231de261d6fc1a38275343b22a5ade4c61ea4,https://explorer.metis.io/tx/0x4b84c0bc0e21eba885217abf35c231de261d6fc1a38275343b22a5ade4c61ea4,Contract Interaction,0x5b19bd330a84c049b62d5b0fc2ba120217a18c1c,LayerZero Labs,m.USDT,token,0.672907,0.673307379665,no,
,,,,,,,,Metis,token,0.005512085196100197,0.3737193762955933,,
09/07/2023,00:09:28,avax,0xfb53784a2515983c9cd9c6a727f35f7680c2bb5c741ff36e92681de6b70439f7,https://snowscan.xyz/tx/0xfb53784a2515983c9cd9c6a727f35f7680c2bb5c741ff36e92681de6b70439f7,swapExactTokensForTokens,0xb4315e873dbcf96ffd0acd8ea43f689d8c20fb30,Trader Joe,USDt,token,0.672927,0.6730043866050001,no,0.05
,,,,,,,,USDT.e,token,-0.673197,-0.6732744176550001,,
09/07/2023,00:09:20,avax,0x18ddc64ba26a800cb2d50b989c2ccf1fbea26b133e3f5b41ab41da75468069c0,https://snowscan.xyz/tx/0x18ddc64ba26a800cb2d50b989c2ccf1fbea26b133e3f5b41ab41da75468069c0,approve,0xb4315e873dbcf96ffd0acd8ea43f689d8c20fb30,Trader Joe,,,,,no,0.02
09/07/2023,00:08:23,avax,0xf88f73e6672f6e49dc1a0e724b300ff0ab79af19ad2c792f09e6c858d6dee557,https://snowscan.xyz/tx/0xf88f73e6672f6e49dc1a0e724b300ff0ab79af19ad2c792f09e6c858d6dee557,swapExactTokensForTokens,0xb4315e873dbcf96ffd0acd8ea43f689d8c20fb30,Trader Joe,USDT.e,token,0.673197,0.6732744176550001,no,0.07
,,,,,,,,USDC,token,-0.6734,-0.6734,,
09/07/2023,00:08:08,avax,0x27201bf5c1b4546616132036f954c8079ac5780ba514efd27f626f993e0d7d3d,https://snowscan.xyz/tx/0x27201bf5c1b4546616132036f954c8079ac5780ba514efd27f626f993e0d7d3d,approve,0xb4315e873dbcf96ffd0acd8ea43f689d8c20fb30,Trader Joe,,,,,no,0.02
09/07/2023,00:07:06,avax,0x54b1421d1ee7133b23f8d8a6d59d18466add1ca7d2b33faf8bbe43475088a6e7,https://snowscan.xyz/tx/0x54b1421d1ee7133b23f8d8a6d59d18466add1ca7d2b33faf8bbe43475088a6e7,approve,0xfe7ce93ac0f78826cd81d506b07fe9f459c00214,ODOS,,,,,no,0.02
09/07/2023,00:06:57,matic,0x151092672dfa7f1a71fe7556cd05ae6e6fd0406123bb587b5bae83ee504bedae,https://polygonscan.com/tx/0x151092672dfa7f1a71fe7556cd05ae6e6fd0406123bb587b5bae83ee504bedae,receive,0x1205f31718499dbf1fca446663b532ef87481fe1,Stargate,USDC,token,25.974515,25.974515,no,
09/07/2023,00:06:11,avax,0x62f21f033acefa9ddee1f86bb9c7a50f5fcf01cdba9b53292b3d56c02b060401,https://snowscan.xyz/tx/0x62f21f033acefa9ddee1f86bb9c7a50f5fcf01cdba9b53292b3d56c02b060401,swap,0x45a01e4e04f14f7a4a6702c74187c5f6222033cd,Stargate,AVAX,token,-0.0266837438213734,-0.3642331031617469,no,0.14
,,,,,,,,USDC,token,-26,-26,,
09/07/2023,00:05:50,avax,0x5806f39cff641e7acde6f07dde50fa1cbf7085ab6a48165bd3e29cd3702e1dcd,https://snowscan.xyz/tx/0x5806f39cff641e7acde6f07dde50fa1cbf7085ab6a48165bd3e29cd3702e1dcd,approve,0x45a01e4e04f14f7a4a6702c74187c5f6222033cd,Stargate,,,,,no,0.02
