Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Protocol,Asset,Asset type,Asset balance change,Asset USD value change,Is scam,USD gas fee
09/07/2023,00:51:18,celo,0x9594037fce8b656293fbd558afda33c6b32a33bd6bd66090eacd87e3a7aab8b8,https://celoscan.io/tx/0x9594037fce8b656293fbd558afda33c6b32a33bd6bd66090eacd87e3a7aab8b8,Contract Interaction,0x15e51701f245f6d5bd0fee87bcaf55b0841451b3,LayerZero Labs,MarathonRunner,token,1,0,no,
,,,,,,,,CELO,token,0.20121500000000003,0.17966487350000004,,
09/07/2023,00:31:13,matic,0xee20f75dfc62fa4286e2f793fd1a16d284ec9c5b9170e5208959fddd6d0974e7,https://polygonscan.com/tx/0xee20f75dfc62fa4286e2f793fd1a16d284ec9c5b9170e5208959fddd6d0974e7,sendFrom,0xbd5f8134e78f3fd4efc65b1db552e8b621f1675c,,MATIC,token,-0.2538548710060363,-0.17261648904155558,no,0.01
,,,,,,,,MarathonRunner,token,-1,0,,
09/07/2023,00:30:31,matic,0x1b2804053655facd5b5330093bf858a5162916752eb3d08a280f68d1f64ca4f8,https://polygonscan.com/tx/0x1b2804053655facd5b5330093bf858a5162916752eb3d08a280f68d1f64ca4f8,mint,0xbd5f8134e78f3fd4efc65b1db552e8b621f1675c,,MarathonRunner,token,1,0,no,0.01
,,,,,,,,MATIC,token,-0.66,-0.44878745999999997,,
09/07/2023,00:29:37,matic,0x7f7f4590b13461ff85468239386957602af6c3b12d6ad0a0cf65825c5b7c2b7a,https://polygonscan.com/tx/0x7f7f4590b13461ff85468239386957602af6c3b12d6ad0a0cf65825c5b7c2b7a,receive,0x1205f31718499dbf1fca446663b532ef87481fe1,Stargate,USDC,token,38.982069,38.982069,no,
09/07/2023,00:28:46,avax,0xcd3e5ebc3308ef63164d2c61ed1fcf8547a4a88fdeeeb837cdfd1500fffc56ee,https://snowscan.xyz/tx/0xcd3e5ebc3308ef63164d2c61ed1fcf8547a4a88fdeeeb837cdfd1500fffc56ee,swap,0x45a01e4e04f14f7a4a6702c74187c5f6222033cd,Stargate,AVAX,token,-0.02666186986198012,-0.3639345236160286,no,0.14
,,,,,,,,USDC,token,-39,-39,,
09/07/2023,00:28:26,avax,0x4d0dc56d3f50f8c2911f799bfb057fc71534476883dfd520c2da812a0a9ba333,https://snowscan.xyz/tx/0x4d0dc56d3f50f8c2911f799bfb057fc71534476883dfd520c2da812a0a9ba333,approve,0x45a01e4e04f14f7a4a6702c74187c5f6222033cd,Stargate,,,,,no,0.02
09/07/2023,00:26:54,avax,0x1df90c5f32411cc4425bf35fa52c2b6108572c37de1c65bffd6354da69974baf,https://snowscan.xyz/tx/0x1df90c5f32411cc4425bf35fa52c2b6108572c37de1c65bffd6354da69974baf,receive,0x1205f31718499dbf1fca446663b532ef87481fe1,Stargate,USDC,token,39.563159,39.563159,no,
09/07/2023,00:25:53,op,0x77fe180f07128400a2c72d3e32f73255094df091223fc22a10ea093146175b99,https://optimistic.etherscan.io/tx/0x77fe180f07128400a2c72d3e32f73255094df091223fc22a10ea093146175b99,swap,0xb0d502e938ed5f4df2e681fe6e419ff29631d62b,Stargate,ETH,token,-0.000243543494511745,-0.4542670677030873,no,0.13
,,,,,,,,USDC,token,-39.58691,-39.58691,,
09/07/2023,00:25:33,op,0x64470ca3f77ab687ebffaf81b2064941c896f2d894f7e48ab843a88439487c42,https://optimistic.etherscan.io/tx/0x64470ca3f77ab687ebffaf81b2064941c896f2d894f7e48ab843a88439487c42,approve,0xb0d502e938ed5f4df2e681fe6e419ff29631d62b,Stargate,,,,,no,0.06
09/07/2023,00:25:01,op,0x2a95f15e471364e9430b31dfc3ec6d908388bc7aabbe1f544f0eba30e3eec4ac,https://optimistic.etherscan.io/tx/0x2a95f15e471364e9430b31dfc3ec6d908388bc7aabbe1f544f0eba30e3eec4ac,receive,0xdecc0c09c3b5f6e92ef4184125d5648a66e35298,Stargate,USDC,token,39.58691,39.58691,no,
09/07/2023,00:24:35,arb,0xf1b697fe64048ead7904786c13c3b250c543cc48e5dd3c75bae34444be86ed70,https://arbiscan.io/tx/0xf1b697fe64048ead7904786c13c3b250c543cc48e5dd3c75bae34444be86ed70,swap,0x53bf833a5d6c4dda888f69c22c88c9f356a41614,Stargate,ETH,token,-0.000466351324067087,-0.8698571437028934,no,0.21
,,,,,,,,USDC,token,-39.610676,-39.610676,,
09/07/2023,00:24:27,arb,0xb5fff8af230bf511ec89960dbaabf939087a168459b0be5120a6ab6e855853e0,https://arbiscan.io/tx/0xb5fff8af230bf511ec89960dbaabf939087a168459b0be5120a6ab6e855853e0,approve,0x53bf833a5d6c4dda888f69c22c88c9f356a41614,Stargate,,,,,no,0.07
26/06/2023,09:47:03,arb,0x0364f31737c0dc50ef687cbfd96be20a0bb529ed409d2825472fe35be6d20833,https://arbiscan.io/tx/0x0364f31737c0dc50ef687cbfd96be20a0bb529ed409d2825472fe35be6d20833,receive,0x892785f33cdee22a30aef750f285e18c18040c3e,Stargate,USDC,token,39.610676,39.606714932399996,no,
26/06/2023,09:45:46,bsc,0xbf3bc8236ff1cf906b40a5c29c3f86289150cf2c1caa9c6997c86da325d7b7ec,https://bscscan.com/tx/0xbf3bc8236ff1cf906b40a5c29c3f86289150cf2c1caa9c6997c86da325d7b7ec,swap,0x4a364f8c717caad9a442737eb7b8a55cc6cf18d8,Stargate,BNB,token,-0.002880745225609017,-0.6801439477662888,no,0.31
,,,,,,,,BUSD,token,-39.650326,-39.6423959348,,
26/06/2023,09:45:28,bsc,0xaf12611652ccb5fbab656a15ceda14a59573d2bfcac24fc571e379cfe127e975,https://bscscan.com/tx/0xaf12611652ccb5fbab656a15ceda14a59573d2bfcac24fc571e379cfe127e975,approve,0x4a364f8c717caad9a442737eb7b8a55cc6cf18d8,Stargate,,,,,no,0.03
