Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Protocol,Asset,Asset type,Asset balance change,Asset USD value change,Is scam,USD gas fee
05/07/2023,17:19:16,era,0x6c0652d49c1a325c6f2c05c1b3785d468ddaa3f495c17952344e084a48ac6705,https://era.zksync.network/tx/0x6c0652d49c1a325c6f2c05c1b3785d468ddaa3f495c17952344e084a48ac6705,swapExactTokensForETH,0xbe7d1fd1f6748bbdefc4fbacafbb11c6fc506d1d,SpaceFi,BUSD,token,-13.352636853769624,-13.352636853769624,no,1.15
05/07/2023,17:18:53,era,0x8cb4704f12f0668e074f956ccf76a381eba6b8846dd6d78f1a9568e86e5b02ad,https://era.zksync.network/tx/0x8cb4704f12f0668e074f956ccf76a381eba6b8846dd6d78f1a9568e86e5b02ad,approve,0xbe7d1fd1f6748bbdefc4fbacafbb11c6fc506d1d,SpaceFi,,,,,no,0.35
05/07/2023,17:18:35,bsc,0xd468e07a74373c3078c589a03c7d874872d7b4f5ad190c8b173bf7f962ba6403,https://bscscan.com/tx/0xd468e07a74373c3078c589a03c7d874872d7b4f5ad190c8b173bf7f962ba6403,receive,0x98a5737749490856b401db5dc27f522fc314a4e1,Stargate,BUSD,token,5.75309,5.75309,no,
05/07/2023,17:17:48,avax,0x7e55da9f81eca4845433a0cfb1bda485618e1d20641513ee5366c52263a8a6d3,https://snowscan.xyz/tx/0x7e55da9f81eca4845433a0cfb1bda485618e1d20641513ee5366c52263a8a6d3,swap,0x45a01e4e04f14f7a4a6702c74187c5f6222033cd,Stargate,AVAX,token,-0.04511885018783803,-0.5716558318799079,no,0.13
,,,,,,,,USDC,token,-5.755545,-5.755545,,
05/07/2023,17:17:22,avax,0x48a1ee243d21ba1824d34f8d87a0008838b93989bba310623627e87afa4f4cc6,https://snowscan.xyz/tx/0x48a1ee243d21ba1824d34f8d87a0008838b93989bba310623627e87afa4f4cc6,approve,0x45a01e4e04f14f7a4a6702c74187c5f6222033cd,Stargate,,,,,no,0.02
26/06/2023,00:16:30,avax,0x73cd8f33ac0b07e2436cd9477b5e7381e012c5f86daec87a4b57293a5e2df3e7,https://snowscan.xyz/tx/0x73cd8f33ac0b07e2436cd9477b5e7381e012c5f86daec87a4b57293a5e2df3e7,receive,0x1205f31718499dbf1fca446663b532ef87481fe1,Stargate,USDC,token,5.755545,5.753242782,no,
25/06/2023,23:57:12,avax,0xc4dae9f75a6697abfcd0e1dc3c16bbcbfe3ab18488c322cd65bc8d87b2839e1e,https://snowscan.xyz/tx/0xc4dae9f75a6697abfcd0e1dc3c16bbcbfe3ab18488c322cd65bc8d87b2839e1e,mint,0xc7cc66a88e2f121fb104344eacb7ba7bcae79dfa,Merkly,MRKLZ,token,1,0,no,0.03
,,,,,,,,AVAX,token,-0.06,-0.8058,,
25/06/2023,23:56:27,matic,0x0651ec8ee81372aeb894651180b7308a220952277bfd94afc4ac7c7c84cc8d51,https://polygonscan.com/tx/0x0651ec8ee81372aeb894651180b7308a220952277bfd94afc4ac7c7c84cc8d51,swap,0x45a01e4e04f14f7a4a6702c74187c5f6222033cd,Stargate,MATIC,token,-0.6463258823906576,-0.4310579986980956,no,0.04
,,,,,,,,USDC,token,-5.758999,-5.756695400400001,,
25/06/2023,23:56:01,matic,0xfaabf28aa24143f47badf8498d3ef3beca24deecf43fd3a5b96e4d77eaf1f19c,https://polygonscan.com/tx/0xfaabf28aa24143f47badf8498d3ef3beca24deecf43fd3a5b96e4d77eaf1f19c,approve,0x45a01e4e04f14f7a4a6702c74187c5f6222033cd,Stargate,,,,,no,0.01
25/06/2023,16:08:02,matic,0xb56002669d5dfac0865bb0c5eb8797796ebcc7595f88dbc33a0e8acea6330d71,https://polygonscan.com/tx/0xb56002669d5dfac0865bb0c5eb8797796ebcc7595f88dbc33a0e8acea6330d71,receive,0x1205f31718499dbf1fca446663b532ef87481fe1,Stargate,USDC,token,5.758999,5.756695400400001,no,
25/06/2023,16:07:35,arb,0x1617d1826b770026869dc41edd017ae2e46e358eff4cb0fffa213a8b7c0413d1,https://arbiscan.io/tx/0x1617d1826b770026869dc41edd017ae2e46e358eff4cb0fffa213a8b7c0413d1,swap,0x53bf833a5d6c4dda888f69c22c88c9f356a41614,Stargate,ETH,token,-0.00020039944598284,-0.38051846803221656,no,0.21
,,,,,,,,USDC,token,-5.762456,-5.7601510176,,
25/06/2023,16:07:31,arb,0x70955e20aa72c82c0c504f069dfeaddc478e42fde2d528521815da1b1d8cbf85,https://arbiscan.io/tx/0x70955e20aa72c82c0c504f069dfeaddc478e42fde2d528521815da1b1d8cbf85,approve,0x53bf833a5d6c4dda888f69c22c88c9f356a41614,Stargate,,,,,no,0.06
