Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Protocol,Asset,Asset type,Asset balance change,Asset USD value change,Is scam,USD gas fee
05/07/2023,17:16:26,matic,0xa3750edf6c12ed0f8832ff68d8120674db3c1dd66050bd82c9ad90dd5549f917,https://polygonscan.com/tx/0xa3750edf6c12ed0f8832ff68d8120674db3c1dd66050bd82c9ad90dd5549f917,receive,0x1205f31718499dbf1fca446663b532ef87481fe1,Stargate,USDC,token,5.754075,5.754075,no,
05/07/2023,17:15:44,avax,0x1145958f2c889c5e764bab077616707c1e04bf5db13b54b7e2838f5a16c355ac,https://snowscan.xyz/tx/0x1145958f2c889c5e764bab077616707c1e04bf5db13b54b7e2838f5a16c355ac,swap,0x45a01e4e04f14f7a4a6702c74187c5f6222033cd,Stargate,AVAX,token,-0.027540152478097237,-0.348933731897492,no,0.13
,,,,,,,,USDC,token,-5.757835,-5.757835,,
05/07/2023,17:15:26,avax,0xccfca87e19f66ab19836aa0c541e0507fb1e461a71981c9d1f01a1a3a83f0cbc,https://snowscan.xyz/tx/0xccfca87e19f66ab19836aa0c541e0507fb1e461a71981c9d1f01a1a3a83f0cbc,approve,0x45a01e4e04f14f7a4a6702c74187c5f6222033cd,Stargate,,,,,no,0.02
05/07/2023,17:14:15,era,0x2c3f2836a1182d3b02a33654cb888b281e746e04944034218c1a5500fc5ff556,https://era.zksync.network/tx/0x2c3f2836a1182d3b02a33654cb888b281e746e04944034218c1a5500fc5ff556,approve,0xd999e16e68476bc749a28fc14a0c3b6d7073f50c,Velocore,,,,,no,0.25
05/07/2023,17:13:38,era,0xe31d65b87c3152f6c2a8def26f16897842c025ee9c646d1565f22a68c44efe56,https://era.zksync.network/tx/0xe31d65b87c3152f6c2a8def26f16897842c025ee9c646d1565f22a68c44efe56,swapExactTokensForETH,0xd999e16e68476bc749a28fc14a0c3b6d7073f50c,Velocore,USDC,token,-3.947529,-3.947529,no,1.2
05/07/2023,17:13:21,era,0x652dd746d39f024b1186fe95227a9646c00172cc764dcee6690cca7c5b80807f,https://era.zksync.network/tx/0x652dd746d39f024b1186fe95227a9646c00172cc764dcee6690cca7c5b80807f,approve,0xd999e16e68476bc749a28fc14a0c3b6d7073f50c,Velocore,,,,,no,0.36
05/07/2023,17:12:35,era,0xbb8da817f2972eae289029e0dfd5d7d607bfc793cb8274c890c0a2c74d30eb88,https://era.zksync.network/tx/0xbb8da817f2972eae289029e0dfd5d7d607bfc793cb8274c890c0a2c74d30eb88,swapExactTokensForETH,0xbe7d1fd1f6748bbdefc4fbacafbb11c6fc506d1d,SpaceFi,BUSD,token,-0.003042813431456566,-0.003042813431456566,no,1.1
05/07/2023,17:12:24,era,0xc15d8932c2bccc1e9d6c23737990532f7ebe457162f24129fa032a8ab9e9faec,https://era.zksync.network/tx/0xc15d8932c2bccc1e9d6c23737990532f7ebe457162f24129fa032a8ab9e9faec,approve,0xbe7d1fd1f6748bbdefc4fbacafbb11c6fc506d1d,SpaceFi,,,,,no,0.25
05/07/2023,17:12:05,era,0x336edd3de067a548cc0cc3950f7d953ad204a3ae64462c766b941e43d883d722,https://era.zksync.network/tx/0x336edd3de067a548cc0cc3950f7d953ad204a3ae64462c766b941e43d883d722,burnLiquidity,0x2da10a1e27bf85cedd8ffb1abbe97e53391c0295,SyncSwap,BUSD,token,7.475235050020845,7.475235050020845,no,1.29
,,,,,,,,USDC,token,3.947529,3.947529,,
,,,,,,,,BUSD/USDC sSLP,token,-5.37991119276319,-11.42274786116795,,
05/07/2023,17:11:34,era,0x30b49db0f3ff89193263c8301f3a517eff264365150f0d3aa9f2883642ad95dc,https://era.zksync.network/tx/0x30b49db0f3ff89193263c8301f3a517eff264365150f0d3aa9f2883642ad95dc,withdraw,0x5aea5775959fbc2557cc8789bc1bf90a239d9a91,,WETH,token,-0.003042813431456566,-5.812869066917365,no,0.37
